subject,split
174437,train
174841,train
175035,train
175136,train
175237,test
175338,test
175439,train
175540,test
175742,train
176037,test
176239,train
176441,train
176542,train
176744,train
176845,train
177140,train
177241,test
177342,train
177645,train
177746,test
178142,train
178243,train
178647,train
178748,train
178849,train
178950,train
179245,train
179346,train
179548,train
179952,train
180129,train
180230,train
180432,train
180533,test
180735,train
180836,train
180937,train
181131,train
181232,train
181636,train
182032,train
182436,train
182739,train
182840,train
183034,train
183337,test
183741,train
185038,train
185139,train
185341,test
185442,train
185846,test
185947,train
186040,train
186141,train
186444,test
186545,train
186848,train
186949,train
187143,test
187345,test
187547,train
187850,train
188145,test
188347,train
188448,train
188549,test
188751,train
189349,train
189450,train
189652,train
190031,train
190132,train
191033,test
191235,test
191336,test
191437,train
191841,train
191942,train
192035,train
192136,train
192237,test
192439,train
192540,train
192641,test
192843,train
193239,train
193441,train
193845,train
194140,train
194443,train
194645,train
194746,train
194847,test
195041,train
195445,train
195647,train
195849,train
195950,train
196144,train
196346,test
196750,test
196851,train
196952,train
197348,test
197449,train
197550,train
197651,train
198047,train
198249,train
198350,train
198451,train
198653,train
198855,train
199150,train
199251,train
199352,train
199453,train
199655,train
199958,train
200008,train
200109,train
200210,train
200311,train
200513,train
200614,test
200917,train
201111,train
201414,train
201515,train
201717,train
201818,train
202113,test
202719,train
202820,test
203418,test
203721,train
203923,train
204016,train
204218,train
204319,train
204420,test
204521,train
204622,test
205119,train
205220,train
205725,train
205826,train
206222,train
206323,test
206525,train
206727,train
206828,test
206929,train
207123,train
207426,test
207628,train
208024,test
208125,train
208226,train
208327,train
208428,train
208630,train
209127,train
209228,train
209329,train
209531,train
209834,test
209935,train
210011,train
210112,train
210415,train
210617,train
211114,train
211215,test
211316,train
211417,train
211619,train
211720,train
211821,test
211922,train
212015,train
212116,train
212217,train
212318,test
212419,test
212823,train
213017,train
213421,test
213522,train
214019,train
214221,test
214423,train
214524,test
214625,train
214726,train
217126,train
217429,train
219231,train
220721,train
221218,train
221319,test
223929,train
224022,train
227432,train
227533,train
228434,train
231928,train
233326,train
236130,train
237334,train
238033,test
239136,train
239944,test
245333,train
246133,train
248238,train
248339,train
249947,train
250427,train
250932,train
251833,train
255639,train
255740,test
256540,train
257542,train
257845,test
257946,train
263436,test
268749,train
268850,train
270332,train
274542,test
275645,train
280739,train
280941,test
281135,train
283543,train
284646,train
285345,train
285446,train
286347,train
286650,train
287248,train
289555,train
290136,train
293748,train
295146,train
297655,train
298051,train
298455,train
299154,train
299760,train
300618,test
300719,train
303119,test
303624,train
304020,train
304727,train
305830,train
307127,train
308129,train
308331,train
309636,train
310621,train
311320,train
314225,train
316633,train
316835,train
317332,train
318637,train
320826,train
321323,train
322224,train
325129,train
329440,train
329844,train
330324,test
333330,train
334635,train
336841,test
339847,test
341834,test
342129,train
346137,train
346945,train
348545,train
349244,train
350330,train
351938,train
352132,train
352738,test
353740,train
355239,train
355542,train
355845,test
356948,train
358144,train
360030,test
361234,train
361941,train
362034,test
365343,train
366042,train
366446,train
368551,train
368753,train
371843,train
376247,train
377451,train
378756,train
378857,train
379657,test
380036,train
381038,train
381543,train
382242,train
385046,test
385450,train
386250,train
387959,train
389357,train
390645,train
391748,test
392447,train
392750,test
393247,train
393550,train
394956,test
395251,train
395756,train
395958,test
397154,train
397760,train
397861,train
401422,train
406432,train
406836,test
412528,train
413934,train
414229,train
415837,train
419239,test
421226,train
422632,train
424939,train
429040,train
432332,train
433839,train
436239,train
436845,train
441939,test
445543,train
448347,train
449753,train
453441,train
453542,train
454140,train
456346,train
459453,train
461743,train
462139,train
463040,train
465852,train
467351,train
468050,train
469961,test
473952,test
475855,test
479762,train
480141,test
481042,test
481951,train
485757,train
486759,train
492754,test
495255,train
497865,train
499566,train
500222,train
506234,train
510225,train
510326,test
512835,train
513130,train
513736,test
516742,train
517239,test
518746,train
519647,train
519950,train
520228,train
521331,train
522434,test
523032,train
524135,train
525541,train
529549,train
529953,train
530635,train
531536,train
531940,train
536647,train
540436,train
541640,train
541943,test
545345,train
547046,test
548250,train
549757,train
550439,test
552241,train
552544,train
553344,train
555348,train
555651,train
555954,train
557857,train
558657,train
558960,train
559053,train
559457,train
561242,test
561444,test
561949,train
562345,train
562446,train
565452,train
566454,train
567052,train
567759,train
567961,test
568963,test
569965,train
570243,train
571144,train
571548,test
572045,train
573249,train
573451,test
576255,train
578057,train
578158,train
579665,train
579867,train
580044,train
580347,train
580650,test
580751,train
581349,test
581450,train
583858,train
584355,test
585256,test
585862,test
586460,train
587664,train
588565,test
589567,test
590047,test
592455,train
594156,test
597869,train
598568,train
599065,train
599469,train
599671,test
601127,train
604537,train
609143,train
611231,train
611938,train
613235,train
613538,train
614439,train
615441,test
615744,train
616645,train
617748,train
618952,test
620434,train
622236,train
623137,train
623844,test
626648,test
627549,train
627852,test
628248,train
633847,train
634748,train
635245,train
638049,train
644044,train
644246,test
645450,train
645551,train
647858,train
650746,train
654350,train
654552,test
654754,train
656253,test
656657,train
657659,test
660951,train
662551,train
663755,test
664757,train
665254,train
667056,train
668361,train
671855,train
672756,train
673455,train
675661,train
677766,train
677968,train
679568,train
679770,train
680250,train
680452,train
680957,train
683256,test
685058,train
686969,train
687163,train
688569,train
689470,test
690152,train
692964,test
693461,test
693764,train
694362,test
695768,train
698168,train
700634,test
701535,train
702133,train
704238,train
705341,train
706040,train
707749,train
709551,train
713239,test
715041,train
715647,test
715950,train
720337,train
723141,train
724446,train
725751,train
727553,test
727654,train
728454,train
729254,train
729557,train
731140,train
732243,train
733548,train
734045,train
734247,train
735148,train
737960,train
742549,train
744553,train
745555,train
748258,train
748662,test
749058,train
749361,train
751348,train
751550,train
753150,train
753251,test
756055,test
757764,train
759869,test
760551,train
761957,train
763557,train
765056,train
765864,train
766563,train
767464,train
769064,train
770352,test
771354,train
773257,train
774663,test
779370,train
782157,train
782561,train
783462,train
784565,train
786569,test
788674,train
788876,test
789373,train
792564,train
792766,train
792867,train
793465,train
800941,train
802844,train
803240,train
804646,train
809252,train
810439,test
810843,train
812746,test
814548,train
814649,train
815247,train
816653,train
818455,test
818859,test
820745,test
822244,train
825048,train
825553,train
825654,test
826353,train
826454,train
827052,train
828862,train
832651,train
833148,test
833249,train
835657,train
837560,test
837964,train
841349,train
843151,train
844961,train
845458,train
849264,train
849971,train
852455,train
856463,train
856766,train
856968,test
857263,test
859671,train
861456,test
865363,train
867468,train
869472,train
870861,train
871762,train
871964,test
872158,test
872562,train
872764,train
873968,train
877168,train
877269,test
878776,train
878877,train
880157,train
882161,train
884064,train
885975,train
886674,train
887373,train
888678,train
889579,train
891667,test
894067,train
894673,train
894774,train
896778,test
896879,train
898176,train
899885,train
901038,train
901139,train
901442,train
902242,train
904044,train
905147,train
907656,train
908860,train
910241,train
910443,train
911849,train
912447,test
917255,train
917558,test
919966,train
922854,train
923755,train
926862,train
927359,test
929464,test
930449,train
932554,train
933253,train
937160,train
942658,train
943862,train
947668,train
951457,train
952863,test
953764,train
955465,train
957974,train
958976,train
959574,test
962058,train
965367,train
965771,train
966975,train
969476,train
970764,train
971160,train
972566,test
973770,train
978578,train
979984,train
983773,train
984472,train
987074,train
987983,train
989987,train
990366,train
991267,train
992673,train
992774,train
993675,train
994273,train
995174,test
996782,train
